"Notes"	"Region"	"Region Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate	Crude Rate Standard Error
	"West"	"CENS-R4"	"2004"	"2004"	"15-19 years"	"15-19"	117	4905117	2.385	0.221
	"West"	"CENS-R4"	"2004"	"2004"	"20-24 years"	"20-24"	114	4981697	2.288	0.214
	"West"	"CENS-R4"	"2004"	"2004"	"25-29 years"	"25-29"	157	4698616	3.341	0.267
	"West"	"CENS-R4"	"2004"	"2004"	"30-34 years"	"30-34"	177	4829775	3.665	0.275
	"West"	"CENS-R4"	"2004"	"2004"	"35-39 years"	"35-39"	160	4831772	3.311	0.262
	"West"	"CENS-R4"	"2004"	"2004"	"40-44 years"	"40-44"	273	5169146	5.281	0.320
	"West"	"CENS-R4"	"2004"	"2004"	"45-49 years"	"45-49"	322	4920559	6.544	0.365
	"West"	"CENS-R4"	"2004"	"2004"	"50-54 years"	"50-54"	348	4383709	7.938	0.426
	"West"	"CENS-R4"	"2004"	"2004"	"55-59 years"	"55-59"	387	3648815	10.606	0.539
	"West"	"CENS-R4"	"2004"	"2004"	"60-64 years "	"60-64"	401	2701474	14.844	0.741
	"West"	"CENS-R4"	"2004"	"2004"	"65-69 years"	"65-69"	362	2099309	17.244	0.906
	"West"	"CENS-R4"	"2004"	"2004"	"70-74 years"	"70-74"	313	1757166	17.813	1.007
	"West"	"CENS-R4"	"2004"	"2004"	"75-79 years"	"75-79"	337	1498161	22.494	1.225
	"West"	"CENS-R4"	"2004"	"2004"	"80-84 years"	"80-84"	268	1127829	23.762	1.452
	"West"	"CENS-R4"	"2004"	"2004"	"85+ years"	"85+"	171	902169	18.954	1.449
"Total"	"West"	"CENS-R4"	"2004"	"2004"			4375	66965483	6.533	0.099
	"West"	"CENS-R4"	"2005"	"2005"	"< 1 year"	"1"	37	990708	3.735	0.614
	"West"	"CENS-R4"	"2005"	"2005"	"1-4 years"	"1-4"	167	3855119	4.332	0.335
	"West"	"CENS-R4"	"2005"	"2005"	"5-9 years"	"5-9"	158	4588523	3.443	0.274
	"West"	"CENS-R4"	"2005"	"2005"	"10-14 years"	"10-14"	133	5075238	2.621	0.227
	"West"	"CENS-R4"	"2005"	"2005"	"15-19 years"	"15-19"	126	5015741	2.512	0.224
	"West"	"CENS-R4"	"2005"	"2005"	"20-24 years"	"20-24"	120	5016418	2.392	0.218
	"West"	"CENS-R4"	"2005"	"2005"	"25-29 years"	"25-29"	144	4820326	2.987	0.249
	"West"	"CENS-R4"	"2005"	"2005"	"30-34 years"	"30-34"	150	4741822	3.163	0.258
	"West"	"CENS-R4"	"2005"	"2005"	"35-39 years"	"35-39"	183	4869675	3.758	0.278
	"West"	"CENS-R4"	"2005"	"2005"	"40-44 years"	"40-44"	233	5125093	4.546	0.298
	"West"	"CENS-R4"	"2005"	"2005"	"45-49 years"	"45-49"	302	5005317	6.034	0.347
	"West"	"CENS-R4"	"2005"	"2005"	"50-54 years"	"50-54"	365	4501424	8.109	0.424
	"West"	"CENS-R4"	"2005"	"2005"	"55-59 years"	"55-59"	403	3867054	10.421	0.519
	"West"	"CENS-R4"	"2005"	"2005"	"60-64 years "	"60-64"	380	2824781	13.452	0.690
	"West"	"CENS-R4"	"2005"	"2005"	"65-69 years"	"65-69"	348	2162783	16.090	0.863
	"West"	"CENS-R4"	"2005"	"2005"	"70-74 years"	"70-74"	352	1771285	19.873	1.059
	"West"	"CENS-R4"	"2005"	"2005"	"75-79 years"	"75-79"	360	1507744	23.877	1.258
	"West"	"CENS-R4"	"2005"	"2005"	"80-84 years"	"80-84"	282	1151743	24.485	1.458
	"West"	"CENS-R4"	"2005"	"2005"	"85+ years"	"85+"	176	942932	18.665	1.407
"Total"	"West"	"CENS-R4"	"2005"	"2005"			4419	67833726	6.514	0.098
	"West"	"CENS-R4"	"2006"	"2006"	"< 1 year"	"1"	28	1001399	2.796	0.528
	"West"	"CENS-R4"	"2006"	"2006"	"1-4 years"	"1-4"	166	3878231	4.280	0.332
	"West"	"CENS-R4"	"2006"	"2006"	"5-9 years"	"5-9"	148	4622600	3.202	0.263
	"West"	"CENS-R4"	"2006"	"2006"	"10-14 years"	"10-14"	114	5042213	2.261	0.212
	"West"	"CENS-R4"	"2006"	"2006"	"15-19 years"	"15-19"	97	5119411	1.895	0.192
	"West"	"CENS-R4"	"2006"	"2006"	"20-24 years"	"20-24"	125	5033375	2.483	0.222
	"West"	"CENS-R4"	"2006"	"2006"	"25-29 years"	"25-29"	123	4989140	2.465	0.222
	"West"	"CENS-R4"	"2006"	"2006"	"30-34 years"	"30-34"	134	4678292	2.864	0.247
	"West"	"CENS-R4"	"2006"	"2006"	"35-39 years"	"35-39"	194	4941280	3.926	0.282
	"West"	"CENS-R4"	"2006"	"2006"	"40-44 years"	"40-44"	251	5047934	4.972	0.314
	"West"	"CENS-R4"	"2006"	"2006"	"45-49 years"	"45-49"	324	5074271	6.385	0.355
	"West"	"CENS-R4"	"2006"	"2006"	"50-54 years"	"50-54"	395	4620493	8.549	0.430
	"West"	"CENS-R4"	"2006"	"2006"	"55-59 years"	"55-59"	445	4077810	10.913	0.517
	"West"	"CENS-R4"	"2006"	"2006"	"60-64 years "	"60-64"	374	2942879	12.709	0.657
	"West"	"CENS-R4"	"2006"	"2006"	"65-69 years"	"65-69"	354	2236805	15.826	0.841
	"West"	"CENS-R4"	"2006"	"2006"	"70-74 years"	"70-74"	328	1789966	18.324	1.012
	"West"	"CENS-R4"	"2006"	"2006"	"75-79 years"	"75-79"	304	1510268	20.129	1.154
	"West"	"CENS-R4"	"2006"	"2006"	"80-84 years"	"80-84"	247	1159722	21.298	1.355
	"West"	"CENS-R4"	"2006"	"2006"	"85+ years"	"85+"	182	985676	18.464	1.369
"Total"	"West"	"CENS-R4"	"2006"	"2006"			4333	68751765	6.302	0.096
	"West"	"CENS-R4"	"2007"	"2007"	"< 1 year"	"1"	40	1025498	3.901	0.617
	"West"	"CENS-R4"	"2007"	"2007"	"1-4 years"	"1-4"	168	3917110	4.289	0.331
	"West"	"CENS-R4"	"2007"	"2007"	"5-9 years"	"5-9"	173	4660473	3.712	0.282
	"West"	"CENS-R4"	"2007"	"2007"	"10-14 years"	"10-14"	138	4996718	2.762	0.235
	"West"	"CENS-R4"	"2007"	"2007"	"15-19 years"	"15-19"	112	5205810	2.151	0.203
	"West"	"CENS-R4"	"2007"	"2007"	"20-24 years"	"20-24"	98	5044199	1.943	0.196
	"West"	"CENS-R4"	"2007"	"2007"	"25-29 years"	"25-29"	150	5100465	2.941	0.240
	"West"	"CENS-R4"	"2007"	"2007"	"30-34 years"	"30-34"	162	4680732	3.461	0.272
	"West"	"CENS-R4"	"2007"	"2007"	"35-39 years"	"35-39"	170	4970529	3.420	0.262
	"West"	"CENS-R4"	"2007"	"2007"	"40-44 years"	"40-44"	232	4953153	4.684	0.308
	"West"	"CENS-R4"	"2007"	"2007"	"45-49 years"	"45-49"	308	5103332	6.035	0.344
	"West"	"CENS-R4"	"2007"	"2007"	"50-54 years"	"50-54"	409	4748495	8.613	0.426
	"West"	"CENS-R4"	"2007"	"2007"	"55-59 years"	"55-59"	405	4115415	9.841	0.489
	"West"	"CENS-R4"	"2007"	"2007"	"60-64 years "	"60-64"	439	3209349	13.679	0.653
	"West"	"CENS-R4"	"2007"	"2007"	"65-69 years"	"65-69"	372	2335480	15.928	0.826
	"West"	"CENS-R4"	"2007"	"2007"	"70-74 years"	"70-74"	364	1822128	19.977	1.047
	"West"	"CENS-R4"	"2007"	"2007"	"75-79 years"	"75-79"	306	1510184	20.262	1.158
	"West"	"CENS-R4"	"2007"	"2007"	"80-84 years"	"80-84"	241	1164898	20.689	1.333
	"West"	"CENS-R4"	"2007"	"2007"	"85+ years"	"85+"	215	1031446	20.845	1.422
"Total"	"West"	"CENS-R4"	"2007"	"2007"			4502	69595414	6.469	0.096
	"West"	"CENS-R4"	"2008"	"2008"	"< 1 year"	"1"	37	1023387	3.615	0.594
	"West"	"CENS-R4"	"2008"	"2008"	"1-4 years"	"1-4"	146	3972679	3.675	0.304
	"West"	"CENS-R4"	"2008"	"2008"	"5-9 years"	"5-9"	150	4738756	3.165	0.258
	"West"	"CENS-R4"	"2008"	"2008"	"10-14 years"	"10-14"	119	4964493	2.397	0.220
	"West"	"CENS-R4"	"2008"	"2008"	"15-19 years"	"15-19"	118	5261082	2.243	0.206
	"West"	"CENS-R4"	"2008"	"2008"	"20-24 years"	"20-24"	125	5086070	2.458	0.220
	"West"	"CENS-R4"	"2008"	"2008"	"25-29 years"	"25-29"	160	5195169	3.080	0.243
	"West"	"CENS-R4"	"2008"	"2008"	"30-34 years"	"30-34"	175	4739863	3.692	0.279
	"West"	"CENS-R4"	"2008"	"2008"	"35-39 years"	"35-39"	211	4960289	4.254	0.293
	"West"	"CENS-R4"	"2008"	"2008"	"40-44 years"	"40-44"	232	4884200	4.750	0.312
	"West"	"CENS-R4"	"2008"	"2008"	"45-49 years"	"45-49"	301	5118413	5.881	0.339
	"West"	"CENS-R4"	"2008"	"2008"	"50-54 years"	"50-54"	402	4851489	8.286	0.413
	"West"	"CENS-R4"	"2008"	"2008"	"55-59 years"	"55-59"	440	4218868	10.429	0.497
	"West"	"CENS-R4"	"2008"	"2008"	"60-64 years "	"60-64"	446	3384268	13.179	0.624
	"West"	"CENS-R4"	"2008"	"2008"	"65-69 years"	"65-69"	421	2480364	16.973	0.827
	"West"	"CENS-R4"	"2008"	"2008"	"70-74 years"	"70-74"	371	1874429	19.793	1.028
	"West"	"CENS-R4"	"2008"	"2008"	"75-79 years"	"75-79"	320	1511446	21.172	1.184
	"West"	"CENS-R4"	"2008"	"2008"	"80-84 years"	"80-84"	268	1170553	22.895	1.399
	"West"	"CENS-R4"	"2008"	"2008"	"85+ years"	"85+"	200	1073357	18.633	1.318
"Total"	"West"	"CENS-R4"	"2008"	"2008"			4642	70509175	6.584	0.097
	"West"	"CENS-R4"	"2009"	"2009"	"< 1 year"	"1"	38	981958	3.870	0.628
	"West"	"CENS-R4"	"2009"	"2009"	"1-4 years"	"1-4"	172	4006091	4.293	0.327
	"West"	"CENS-R4"	"2009"	"2009"	"5-9 years"	"5-9"	155	4831666	3.208	0.258
	"West"	"CENS-R4"	"2009"	"2009"	"10-14 years"	"10-14"	139	4950899	2.808	0.238
	"West"	"CENS-R4"	"2009"	"2009"	"15-19 years"	"15-19"	105	5276157	1.990	0.194
	"West"	"CENS-R4"	"2009"	"2009"	"20-24 years"	"20-24"	106	5133776	2.065	0.201
	"West"	"CENS-R4"	"2009"	"2009"	"25-29 years"	"25-29"	152	5234554	2.904	0.236
	"West"	"CENS-R4"	"2009"	"2009"	"30-34 years"	"30-34"	161	4840341	3.326	0.262
	"West"	"CENS-R4"	"2009"	"2009"	"35-39 years"	"35-39"	195	4917482	3.965	0.284
	"West"	"CENS-R4"	"2009"	"2009"	"40-44 years"	"40-44"	201	4838914	4.154	0.293
	"West"	"CENS-R4"	"2009"	"2009"	"45-49 years"	"45-49"	304	5137581	5.917	0.339
	"West"	"CENS-R4"	"2009"	"2009"	"50-54 years"	"50-54"	356	4917642	7.239	0.384
	"West"	"CENS-R4"	"2009"	"2009"	"55-59 years"	"55-59"	466	4339456	10.739	0.497
	"West"	"CENS-R4"	"2009"	"2009"	"60-64 years "	"60-64"	485	3575835	13.563	0.616
	"West"	"CENS-R4"	"2009"	"2009"	"65-69 years"	"65-69"	455	2612380	17.417	0.817
	"West"	"CENS-R4"	"2009"	"2009"	"70-74 years"	"70-74"	361	1936901	18.638	0.981
	"West"	"CENS-R4"	"2009"	"2009"	"75-79 years"	"75-79"	374	1518347	24.632	1.274
	"West"	"CENS-R4"	"2009"	"2009"	"80-84 years"	"80-84"	292	1171770	24.920	1.458
	"West"	"CENS-R4"	"2009"	"2009"	"85+ years"	"85+"	252	1119626	22.508	1.418
"Total"	"West"	"CENS-R4"	"2009"	"2009"			4769	71341376	6.685	0.097
	"West"	"CENS-R4"	"2010"	"2010"	"< 1 year"	"1"	34	973261	3.493	0.599
	"West"	"CENS-R4"	"2010"	"2010"	"1-4 years"	"1-4"	181	3994978	4.531	0.337
	"West"	"CENS-R4"	"2010"	"2010"	"5-9 years"	"5-9"	178	4904093	3.630	0.272
	"West"	"CENS-R4"	"2010"	"2010"	"10-14 years"	"10-14"	112	4949547	2.263	0.214
	"West"	"CENS-R4"	"2010"	"2010"	"15-19 years"	"15-19"	97	5229572	1.855	0.188
	"West"	"CENS-R4"	"2010"	"2010"	"20-24 years"	"20-24"	125	5217638	2.396	0.214
	"West"	"CENS-R4"	"2010"	"2010"	"25-29 years"	"25-29"	165	5239651	3.149	0.245
	"West"	"CENS-R4"	"2010"	"2010"	"30-34 years"	"30-34"	175	4949278	3.536	0.267
	"West"	"CENS-R4"	"2010"	"2010"	"35-39 years"	"35-39"	174	4837983	3.597	0.273
	"West"	"CENS-R4"	"2010"	"2010"	"40-44 years"	"40-44"	234	4874989	4.800	0.314
	"West"	"CENS-R4"	"2010"	"2010"	"45-49 years"	"45-49"	324	5084287	6.373	0.354
	"West"	"CENS-R4"	"2010"	"2010"	"50-54 years"	"50-54"	427	4997595	8.544	0.413
	"West"	"CENS-R4"	"2010"	"2010"	"55-59 years"	"55-59"	465	4454165	10.440	0.484
	"West"	"CENS-R4"	"2010"	"2010"	"60-64 years "	"60-64"	547	3787266	14.443	0.618
	"West"	"CENS-R4"	"2010"	"2010"	"65-69 years"	"65-69"	433	2731678	15.851	0.762
	"West"	"CENS-R4"	"2010"	"2010"	"70-74 years"	"70-74"	372	1996128	18.636	0.966
	"West"	"CENS-R4"	"2010"	"2010"	"75-79 years"	"75-79"	303	1531258	19.788	1.137
	"West"	"CENS-R4"	"2010"	"2010"	"80-84 years"	"80-84"	247	1184787	20.848	1.327
	"West"	"CENS-R4"	"2010"	"2010"	"85+ years"	"85+"	208	1162282	17.896	1.241
"Total"	"West"	"CENS-R4"	"2010"	"2010"			4801	72100436	6.659	0.096
	"West"	"CENS-R4"	"2011"	"2011"	"< 1 year"	"1"	34	981725	3.463	0.594
	"West"	"CENS-R4"	"2011"	"2011"	"1-4 years"	"1-4"	150	3976571	3.772	0.308
	"West"	"CENS-R4"	"2011"	"2011"	"5-9 years"	"5-9"	149	4921145	3.028	0.248
	"West"	"CENS-R4"	"2011"	"2011"	"10-14 years"	"10-14"	122	4944382	2.467	0.223
	"West"	"CENS-R4"	"2011"	"2011"	"15-19 years"	"15-19"	116	5131544	2.261	0.210
	"West"	"CENS-R4"	"2011"	"2011"	"20-24 years"	"20-24"	126	5362394	2.350	0.209
	"West"	"CENS-R4"	"2011"	"2011"	"25-29 years"	"25-29"	140	5276906	2.653	0.224
	"West"	"CENS-R4"	"2011"	"2011"	"30-34 years"	"30-34"	191	5062586	3.773	0.273
	"West"	"CENS-R4"	"2011"	"2011"	"35-39 years"	"35-39"	171	4763240	3.590	0.275
	"West"	"CENS-R4"	"2011"	"2011"	"40-44 years"	"40-44"	213	4938930	4.313	0.295
	"West"	"CENS-R4"	"2011"	"2011"	"45-49 years"	"45-49"	311	4987316	6.236	0.354
	"West"	"CENS-R4"	"2011"	"2011"	"50-54 years"	"50-54"	381	5042442	7.556	0.387
	"West"	"CENS-R4"	"2011"	"2011"	"55-59 years"	"55-59"	426	4560127	9.342	0.453
	"West"	"CENS-R4"	"2011"	"2011"	"60-64 years "	"60-64"	537	3977886	13.500	0.583
	"West"	"CENS-R4"	"2011"	"2011"	"65-69 years"	"65-69"	507	2838246	17.863	0.793
	"West"	"CENS-R4"	"2011"	"2011"	"70-74 years"	"70-74"	369	2070842	17.819	0.928
	"West"	"CENS-R4"	"2011"	"2011"	"75-79 years"	"75-79"	329	1555198	21.155	1.166
	"West"	"CENS-R4"	"2011"	"2011"	"80-84 years"	"80-84"	262	1196303	21.901	1.353
	"West"	"CENS-R4"	"2011"	"2011"	"85+ years"	"85+"	214	1200546	17.825	1.219
"Total"	"West"	"CENS-R4"	"2011"	"2011"			4748	72788329	6.523	0.095
	"West"	"CENS-R4"	"2012"	"2012"	"< 1 year"	"1"	40	962318	4.157	0.657
	"West"	"CENS-R4"	"2012"	"2012"	"1-4 years"	"1-4"	156	3951144	3.948	0.316
	"West"	"CENS-R4"	"2012"	"2012"	"5-9 years"	"5-9"	169	4975315	3.397	0.261
	"West"	"CENS-R4"	"2012"	"2012"	"10-14 years"	"10-14"	108	4926352	2.192	0.211
	"West"	"CENS-R4"	"2012"	"2012"	"15-19 years"	"15-19"	116	5061653	2.292	0.213
	"West"	"CENS-R4"	"2012"	"2012"	"20-24 years"	"20-24"	116	5472734	2.120	0.197
	"West"	"CENS-R4"	"2012"	"2012"	"25-29 years"	"25-29"	163	5299647	3.076	0.241
	"West"	"CENS-R4"	"2012"	"2012"	"30-34 years"	"30-34"	165	5173717	3.189	0.248
	"West"	"CENS-R4"	"2012"	"2012"	"35-39 years"	"35-39"	165	4772811	3.457	0.269
	"West"	"CENS-R4"	"2012"	"2012"	"40-44 years"	"40-44"	205	4962378	4.131	0.289
	"West"	"CENS-R4"	"2012"	"2012"	"45-49 years"	"45-49"	264	4897423	5.391	0.332
	"West"	"CENS-R4"	"2012"	"2012"	"50-54 years"	"50-54"	365	5050524	7.227	0.378
	"West"	"CENS-R4"	"2012"	"2012"	"55-59 years"	"55-59"	488	4671717	10.446	0.473
	"West"	"CENS-R4"	"2012"	"2012"	"60-64 years "	"60-64"	574	4000027	14.350	0.599
	"West"	"CENS-R4"	"2012"	"2012"	"65-69 years"	"65-69"	499	3098701	16.104	0.721
	"West"	"CENS-R4"	"2012"	"2012"	"70-74 years"	"70-74"	430	2168492	19.829	0.956
	"West"	"CENS-R4"	"2012"	"2012"	"75-79 years"	"75-79"	323	1590216	20.312	1.130
	"West"	"CENS-R4"	"2012"	"2012"	"80-84 years"	"80-84"	260	1205917	21.560	1.337
	"West"	"CENS-R4"	"2012"	"2012"	"85+ years"	"85+"	243	1236737	19.648	1.260
"Total"	"West"	"CENS-R4"	"2012"	"2012"			4849	73477823	6.599	0.095
	"West"	"CENS-R4"	"2013"	"2013"	"< 1 year"	"1"	35	968637	3.613	0.611
	"West"	"CENS-R4"	"2013"	"2013"	"1-4 years"	"1-4"	135	3911329	3.452	0.297
	"West"	"CENS-R4"	"2013"	"2013"	"5-9 years"	"5-9"	151	5016528	3.010	0.245
	"West"	"CENS-R4"	"2013"	"2013"	"10-14 years"	"10-14"	152	4927938	3.084	0.250
	"West"	"CENS-R4"	"2013"	"2013"	"15-19 years"	"15-19"	115	5013670	2.294	0.214
	"West"	"CENS-R4"	"2013"	"2013"	"20-24 years"	"20-24"	116	5516206	2.103	0.195
	"West"	"CENS-R4"	"2013"	"2013"	"25-29 years"	"25-29"	136	5356691	2.539	0.218
	"West"	"CENS-R4"	"2013"	"2013"	"30-34 years"	"30-34"	185	5283363	3.502	0.257
	"West"	"CENS-R4"	"2013"	"2013"	"35-39 years"	"35-39"	178	4821291	3.692	0.277
	"West"	"CENS-R4"	"2013"	"2013"	"40-44 years"	"40-44"	194	4944034	3.924	0.282
	"West"	"CENS-R4"	"2013"	"2013"	"45-49 years"	"45-49"	282	4822763	5.847	0.348
	"West"	"CENS-R4"	"2013"	"2013"	"50-54 years"	"50-54"	380	5055182	7.517	0.386
	"West"	"CENS-R4"	"2013"	"2013"	"55-59 years"	"55-59"	527	4750843	11.093	0.483
	"West"	"CENS-R4"	"2013"	"2013"	"60-64 years "	"60-64"	527	4087202	12.894	0.562
	"West"	"CENS-R4"	"2013"	"2013"	"65-69 years"	"65-69"	531	3260805	16.284	0.707
	"West"	"CENS-R4"	"2013"	"2013"	"70-74 years"	"70-74"	435	2306236	18.862	0.904
	"West"	"CENS-R4"	"2013"	"2013"	"75-79 years"	"75-79"	361	1642316	21.981	1.157
	"West"	"CENS-R4"	"2013"	"2013"	"80-84 years"	"80-84"	278	1213548	22.908	1.374
	"West"	"CENS-R4"	"2013"	"2013"	"85+ years"	"85+"	242	1268548	19.077	1.226
"Total"	"West"	"CENS-R4"	"2013"	"2013"			4960	74167130	6.688	0.095
	"West"	"CENS-R4"	"2014"	"2014"	"< 1 year"	"1"	39	968746	4.026	0.645
	"West"	"CENS-R4"	"2014"	"2014"	"1-4 years"	"1-4"	163	3911392	4.167	0.326
	"West"	"CENS-R4"	"2014"	"2014"	"5-9 years"	"5-9"	174	5016989	3.468	0.263
	"West"	"CENS-R4"	"2014"	"2014"	"10-14 years"	"10-14"	130	4942803	2.630	0.231
	"West"	"CENS-R4"	"2014"	"2014"	"15-19 years"	"15-19"	111	4980015	2.229	0.212
	"West"	"CENS-R4"	"2014"	"2014"	"20-24 years"	"20-24"	117	5529013	2.116	0.196
	"West"	"CENS-R4"	"2014"	"2014"	"25-29 years"	"25-29"	164	5476152	2.995	0.234
	"West"	"CENS-R4"	"2014"	"2014"	"30-34 years"	"30-34"	193	5371416	3.593	0.259
	"West"	"CENS-R4"	"2014"	"2014"	"35-39 years"	"35-39"	176	4897656	3.594	0.271
	"West"	"CENS-R4"	"2014"	"2014"	"40-44 years"	"40-44"	218	4897202	4.452	0.301
	"West"	"CENS-R4"	"2014"	"2014"	"45-49 years"	"45-49"	250	4788232	5.221	0.330
	"West"	"CENS-R4"	"2014"	"2014"	"50-54 years"	"50-54"	375	5053788	7.420	0.383
	"West"	"CENS-R4"	"2014"	"2014"	"55-59 years"	"55-59"	502	4805586	10.446	0.466
	"West"	"CENS-R4"	"2014"	"2014"	"60-64 years "	"60-64"	535	4192794	12.760	0.552
	"West"	"CENS-R4"	"2014"	"2014"	"65-69 years"	"65-69"	551	3434894	16.041	0.683
	"West"	"CENS-R4"	"2014"	"2014"	"70-74 years"	"70-74"	454	2426930	18.707	0.878
	"West"	"CENS-R4"	"2014"	"2014"	"75-79 years"	"75-79"	352	1705492	20.639	1.100
	"West"	"CENS-R4"	"2014"	"2014"	"80-84 years"	"80-84"	272	1222548	22.249	1.349
	"West"	"CENS-R4"	"2014"	"2014"	"85+ years"	"85+"	262	1304145	20.090	1.241
"Total"	"West"	"CENS-R4"	"2014"	"2014"			5038	74925793	6.724	0.095
	"West"	"CENS-R4"	"2015"	"2015"	"< 1 year"	"1"	30	974258	3.079	0.562
	"West"	"CENS-R4"	"2015"	"2015"	"1-4 years"	"1-4"	172	3912389	4.396	0.335
	"West"	"CENS-R4"	"2015"	"2015"	"5-9 years"	"5-9"	180	5014490	3.590	0.268
	"West"	"CENS-R4"	"2015"	"2015"	"10-14 years"	"10-14"	141	4948769	2.849	0.240
	"West"	"CENS-R4"	"2015"	"2015"	"15-19 years"	"15-19"	122	4982730	2.448	0.222
	"West"	"CENS-R4"	"2015"	"2015"	"20-24 years"	"20-24"	123	5470941	2.248	0.203
	"West"	"CENS-R4"	"2015"	"2015"	"25-29 years"	"25-29"	143	5633372	2.538	0.212
	"West"	"CENS-R4"	"2015"	"2015"	"30-34 years"	"30-34"	199	5433119	3.663	0.260
	"West"	"CENS-R4"	"2015"	"2015"	"35-39 years"	"35-39"	185	5021082	3.684	0.271
	"West"	"CENS-R4"	"2015"	"2015"	"40-44 years"	"40-44"	238	4836635	4.921	0.319
	"West"	"CENS-R4"	"2015"	"2015"	"45-49 years"	"45-49"	261	4831415	5.402	0.334
	"West"	"CENS-R4"	"2015"	"2015"	"50-54 years"	"50-54"	395	4998727	7.902	0.398
	"West"	"CENS-R4"	"2015"	"2015"	"55-59 years"	"55-59"	500	4872966	10.261	0.459
	"West"	"CENS-R4"	"2015"	"2015"	"60-64 years "	"60-64"	514	4305436	11.938	0.527
	"West"	"CENS-R4"	"2015"	"2015"	"65-69 years"	"65-69"	556	3616974	15.372	0.652
	"West"	"CENS-R4"	"2015"	"2015"	"70-74 years"	"70-74"	497	2541994	19.552	0.877
	"West"	"CENS-R4"	"2015"	"2015"	"75-79 years"	"75-79"	395	1766243	22.364	1.125
	"West"	"CENS-R4"	"2015"	"2015"	"80-84 years"	"80-84"	271	1238521	21.881	1.329
	"West"	"CENS-R4"	"2015"	"2015"	"85+ years"	"85+"	259	1342494	19.292	1.199
"Total"	"West"	"CENS-R4"	"2015"	"2015"			5181	75742555	6.840	0.095
	"West"	"CENS-R4"	"2016"	"2016"	"< 1 year"	"1"	33	961558	3.432	0.597
	"West"	"CENS-R4"	"2016"	"2016"	"1-4 years"	"1-4"	151	3911976	3.860	0.314
	"West"	"CENS-R4"	"2016"	"2016"	"5-9 years"	"5-9"	144	5014850	2.871	0.239
	"West"	"CENS-R4"	"2016"	"2016"	"10-14 years"	"10-14"	130	4973526	2.614	0.229
	"West"	"CENS-R4"	"2016"	"2016"	"15-19 years"	"15-19"	72	4991904	1.442	0.170
	"West"	"CENS-R4"	"2016"	"2016"	"20-24 years"	"20-24"	119	5390138	2.208	0.202
	"West"	"CENS-R4"	"2016"	"2016"	"25-29 years"	"25-29"	167	5812628	2.873	0.222
	"West"	"CENS-R4"	"2016"	"2016"	"30-34 years"	"30-34"	211	5510052	3.829	0.264
	"West"	"CENS-R4"	"2016"	"2016"	"35-39 years"	"35-39"	205	5156910	3.975	0.278
	"West"	"CENS-R4"	"2016"	"2016"	"40-44 years"	"40-44"	195	4781197	4.078	0.292
	"West"	"CENS-R4"	"2016"	"2016"	"45-49 years"	"45-49"	218	4903364	4.446	0.301
	"West"	"CENS-R4"	"2016"	"2016"	"50-54 years"	"50-54"	335	4909018	6.824	0.373
	"West"	"CENS-R4"	"2016"	"2016"	"55-59 years"	"55-59"	469	4923845	9.525	0.440
	"West"	"CENS-R4"	"2016"	"2016"	"60-64 years "	"60-64"	552	4409761	12.518	0.533
	"West"	"CENS-R4"	"2016"	"2016"	"65-69 years"	"65-69"	607	3797785	15.983	0.649
	"West"	"CENS-R4"	"2016"	"2016"	"70-74 years"	"70-74"	498	2642679	18.845	0.844
	"West"	"CENS-R4"	"2016"	"2016"	"75-79 years"	"75-79"	375	1834351	20.443	1.056
	"West"	"CENS-R4"	"2016"	"2016"	"80-84 years"	"80-84"	262	1260882	20.779	1.284
	"West"	"CENS-R4"	"2016"	"2016"	"85+ years"	"85+"	250	1373257	18.205	1.151
"Total"	"West"	"CENS-R4"	"2016"	"2016"			4993	76559681	6.522	0.092
	"West"	"CENS-R4"	"2017"	"2017"	"< 1 year"	"1"	32	945145	3.386	0.599
	"West"	"CENS-R4"	"2017"	"2017"	"1-4 years"	"1-4"	154	3908855	3.940	0.317
	"West"	"CENS-R4"	"2017"	"2017"	"5-9 years"	"5-9"	162	4978021	3.254	0.256
	"West"	"CENS-R4"	"2017"	"2017"	"10-14 years"	"10-14"	148	5030573	2.942	0.242
	"West"	"CENS-R4"	"2017"	"2017"	"15-19 years"	"15-19"	122	4980076	2.450	0.222
	"West"	"CENS-R4"	"2017"	"2017"	"20-24 years"	"20-24"	112	5317161	2.106	0.199
	"West"	"CENS-R4"	"2017"	"2017"	"25-29 years"	"25-29"	138	5943531	2.322	0.198
	"West"	"CENS-R4"	"2017"	"2017"	"30-34 years"	"30-34"	189	5558266	3.400	0.247
	"West"	"CENS-R4"	"2017"	"2017"	"35-39 years"	"35-39"	190	5283227	3.596	0.261
	"West"	"CENS-R4"	"2017"	"2017"	"40-44 years"	"40-44"	202	4797994	4.210	0.296
	"West"	"CENS-R4"	"2017"	"2017"	"45-49 years"	"45-49"	287	4930491	5.821	0.344
	"West"	"CENS-R4"	"2017"	"2017"	"50-54 years"	"50-54"	343	4822685	7.112	0.384
	"West"	"CENS-R4"	"2017"	"2017"	"55-59 years"	"55-59"	485	4933541	9.831	0.446
	"West"	"CENS-R4"	"2017"	"2017"	"60-64 years "	"60-64"	628	4515477	13.908	0.555
	"West"	"CENS-R4"	"2017"	"2017"	"65-69 years"	"65-69"	564	3816024	14.780	0.622
